postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1015 AK Amsterdam;Langestraat 31;5.237.799;4.891.947;895000;164;450;4;1700;0;woonhuis;42;5
1018 LZ Amsterdam;Kleine Wittenburgerstraat 124;5.237.103;4.921.513;275000;56;189;1;1981;0;appartement;27;2
1073 TB Amsterdam;Karel du Jardinstraat 53 HS+PP;5.235.155;4.895.647;550000;83;328;1;2000;1;appartement;39;3
1073 XA Amsterdam;Gerard Doustraat 190 III;5.235.642;489.563;375000;69;222;1;1880;0;appartement;18;2
1067 MT Amsterdam;Jan van Duivenvoordestraat 137;5.237.949;4.802.591;249000;97;295;1;2002;0;appartement;22;4
1017 BM Amsterdam;Reguliersdwarsstraat 46 -D*;523.662;4.891.655;650000;96;290;1;1999;0;appartement;26;3
1108 CD Amsterdam;Leerdamhof 334;5.230.647;4.977.508;160000;71;180;1;1976;1;appartement;28;2
1077 NS Amsterdam;Minervalaan 71 -hs;5.234.584;4.873.051;1150000;131;445;1;1930;1;appartement;22;5
1066 TK Amsterdam;Blankenbergestraat 61;5.234.679;480.147;450000;170;500;3;1995;1;woonhuis;36;5
1057 PT Amsterdam;Van Kinsbergenstraat 88;523.687;4.858.506;400000;73;235;1;2011;0;appartement;35;3
1054 ZH Amsterdam;Jacob van Lennepkade 71 H;5.236.544;4.873.928;700000;104;252;4;1895;1;appartement;34;4
1074 GA Amsterdam;Diamantstraat 17 / A-1;523.518;4.905.856;420000;84;238;1;1906;0;appartement;16;4
1013 Amsterdam;Houthavenweg;5.238.232;4.894.955;454761;93;260;1;2017;0;appartement;9;3
1011 MK Amsterdam;Rapenburgerstraat;523.695;4.908.419;60000;0;0;1;0;0;parkeergelegenheid;1;1
1011 KN Amsterdam;'s-Gravelandse Veer 10 SOUS;523.679;489.708;450000;77;308;5;1850;0;appartement;20;2
1052 VL Amsterdam;Gillis van Ledenberchstraat 128 I;523.754;487.117;325000;60;180;5;1931;0;appartement;26;3
1108 DT Amsterdam;Leusdenhof 347;5.230.692;4.980.338;177500;75;266;1;1980;1;appartement;19;3
1012 JS Amsterdam;Dam 5 /N;5.237.309;489.409;2850000;211;580;1;2017;0;appartement;20;4
1013 Amsterdam;Narva Eiland West (Bouwnr. 80);5.238.232;4.894.955;1037459;170;425;1;2017;0;appartement;8;4
1068 ZW Amsterdam;Geer Ban 29;523.647;4.802.978;375000;132;459;2;2009;1;woonhuis;31;5
1058 GD Amsterdam;Andreasplein 34;5.235.684;484.521;650000;115;364;1;2010;1;appartement;21;4
1017 GJ Amsterdam;Kerkstraat 205 -B;523.632;4.890.659;499000;74;245;2;1906;0;appartement;16;3
1071 VN Amsterdam;Cornelis Anthoniszstraat 11 II;5.235.349;4.883.309;395000;53;175;1;1899;0;appartement;21;3
1033 XG Amsterdam;Perseusstraat 10;524.161;487.781;200000;84;210;2;1958;1;appartement;28;4
1064 CK Amsterdam;Burgemeester Hogguerstraat 15;5.237.142;4.830.582;47500;0;0;1;0;0;parkeergelegenheid;8;1
1069 EE Amsterdam;Langswater 601;523.574;478.895;169011;73;175;1;1960;0;appartement;16;4
1063 GE Amsterdam;Robbert Cijferstraat 10;5.238.346;4.825.437;260000;105;263;2;1953;1;woonhuis;21;5
1098 KV Amsterdam;Wethouder Frankeweg 1;5.235.119;4.935.385;400000;199;660;2;1906;0;appartement;8;1
1022 KD Amsterdam;Noorderkwartier (Bouwnr. 13);5.240.604;4.931.375;452396;162;405;2;2016;1;woonhuis;5;6
