timeline housing price Amsterdam
Subject;Price index existing owner-occupied homes|Price index selling prices;Price index existing owner-occupied homes|Price index selling prices;Price index existing owner-occupied homes|Development compared to a year earlier;Price index existing owner-occupied homes|Development compared to a year earlier;Sold existing owner-occupied homes|Sold homes;Sold existing owner-occupied homes|Sold homes;Sold existing owner-occupied homes|Development compared to previous period;Sold existing owner-occupied homes|Development compared to previous period;Sold existing owner-occupied homes|Development compared to a year earlier;Sold existing owner-occupied homes|Development compared to a year earlier;Average selling price;Average selling price
Area;Netherland;Amsterdam;Netherland;Amsterdam;Netherland;Amsterdam;Netherland;Amsterdam;Netherland;Amsterdam;Netherland;Amsterdam
Period;2015=100;2015=100;%;%;amount;amount;%;%;%;%;euro;euro
1995 1st quarter;41,4;28,8;;;30734;625;;;;;89792;95052
1995 2nd quarter;41,9;28,7;;;37054;654;20,6;4,6;;;92094;98045
1995 3rd quarter;43,1;29,5;;;40498;763;9,3;16,7;;;95819;94401
1995 4th quarter;43,6;29,9;;;46282;822;14,3;7,7;;;95892;103576
1996 1st quarter;44,8;30,3;8,3;5,2;35669;696;-22,9;-15,3;16,1;11,4;97224;111078
1996 2nd quarter;46,4;31,1;10,7;8,3;43810;830;22,8;19,3;18,2;26,9;100280;106316
1996 3rd quarter;48,0;32,2;11,5;9,1;46582;812;6,3;-2,2;15,0;6,4;104754;108197
1996 4th quarter;49,0;33,0;12,4;10,5;49690;862;6,7;6,2;7,4;4,9;106508;115935
1997 1st quarter;50,6;34,4;12,8;13,6;35763;878;-28,0;1,9;0,3;26,1;107138;114735
1997 2nd quarter;52,0;35,6;12,1;14,5;47160;1066;31,9;21,4;7,6;28,4;110934;121729
1997 3rd quarter;53,5;37,4;11,4;16,3;49619;1023;5,2;-4,0;6,5;26,0;115563;127834
1997 4th quarter;54,6;37,4;11,4;13,4;53092;1212;7,0;18,5;6,8;40,6;116960;136452
1998 1st quarter;55,9;40,3;10,6;17,2;38128;903;-28,2;-25,5;6,6;2,8;118873;144703
1998 2nd quarter;57,4;41,5;10,4;16,6;47410;1051;24,3;16,4;0,5;-1,4;121358;147192
1998 3rd quarter;59,3;43,7;10,9;16,7;51153;1037;7,9;-1,3;3,1;1,4;127361;151201
1998 4th quarter;61,0;45,7;11,6;22,1;55931;1106;9,3;6,7;5,3;-8,7;128521;160513
1999 1st quarter;63,4;50,8;13,3;26,0;42223;950;-24,5;-14,1;10,7;5,2;131800;180478
1999 2nd quarter;66,1;54,2;15,2;30,7;50211;1137;18,9;19,7;5,9;8,2;139546;179153
1999 3rd quarter;69,6;57,2;17,4;30,9;55575;1254;10,7;10,3;8,6;20,9;148759;186919
1999 4th quarter;72,6;59,9;19,1;31,0;56529;1249;1,7;-0,4;1,1;12,9;155204;207371
2000 1st quarter;75,9;63,8;19,9;25,5;39643;1038;-29,9;-16,9;-6,1;9,3;159365;209753
2000 2nd quarter;78,9;65,9;19,4;21,7;47098;1172;18,8;12,9;-6,2;3,1;167599;220496
2000 3rd quarter;82,3;67,7;18,2;18,4;48794;1291;3,6;10,2;-12,2;3,0;177486;226056
2000 4th quarter;84,2;70,0;15,8;16,9;53823;1450;10,3;12,3;-4,8;16,1;180360;238404
2001 1st quarter;86,2;73,6;13,5;15,4;37729;1086;-29,9;-25,1;-4,8;4,6;180341;238402
2001 2nd quarter;88,5;75,7;12,1;14,9;48191;1251;27,7;15,2;2,3;6,7;186614;247482
2001 3rd quarter;90,8;77,2;10,3;14,0;52498;1403;8,9;12,2;7,6;8,7;191524;251894
2001 4th quarter;91,6;77,5;8,8;10,7;57319;1532;9,2;9,2;6,5;5,7;192334;248500
2002 1st quarter;93,2;77,9;8,2;5,9;44377;1179;-22,6;-23,0;17,6;8,6;194834;261042
2002 2nd quarter;94,5;77,7;6,8;2,6;48081;1355;8,3;14,9;-0,2;8,3;198713;257211
2002 3rd quarter;96,1;78,4;5,9;1,5;52597;1543;9,4;13,9;0,2;10,0;203432;251807
2002 4th quarter;96,0;77,1;4,9;-0,5;53331;1573;1,4;1,9;-7,0;2,7;201154;238815
2003 1st quarter;96,9;76,4;3,9;-1,9;39587;1260;-25,8;-19,9;-10,8;6,9;200535;235453
2003 2nd quarter;97,9;75,1;3,6;-3,3;46278;1340;16,9;6,3;-3,8;-1,1;203216;239384
2003 3rd quarter;98,8;74,7;2,8;-4,7;50365;1782;8,8;33,0;-4,2;15,5;205078;226932
2003 4th quarter;99,9;75,4;4,0;-2,2;57176;2195;13,5;23,2;7,2;39,5;208888;228929
2004 1st quarter;101,0;75,7;4,2;-1,0;39251;1528;-31,4;-30,4;-0,8;21,3;208625;236635
2004 2nd quarter;102,1;75,7;4,2;0,8;47946;1859;22,2;21,7;3,6;38,7;212346;232074
2004 3rd quarter;103,6;77,1;4,8;3,1;50427;2170;5,2;16,7;0,1;21,8;217298;232900
2004 4th quarter;103,9;75,9;4,0;0,6;54317;2465;7,7;13,6;-5,0;12,3;211771;214217
2005 1st quarter;104,9;77,6;3,8;2,5;41210;1990;-24,1;-19,3;5,0;30,2;215695;227622
2005 2nd quarter;106,1;79,3;4,0;4,8;50592;2212;22,8;11,2;5,5;19,0;220225;236026
2005 3rd quarter;107,4;80,8;3,7;4,8;55728;2443;10,2;10,4;10,5;12,6;226905;244213
2005 4th quarter;108,1;81,2;4,0;7,0;59099;2634;6,0;7,8;8,8;6,9;225757;242401
2006 1st quarter;109,7;83,5;4,6;7,7;47519;2351;-19,6;-10,7;15,3;18,1;229580;244538
2006 2nd quarter;111,0;84,4;4,6;6,4;53203;2420;12,0;2,9;5,2;9,4;234316;252779
2006 3rd quarter;112,4;88,3;4,6;9,3;53882;2571;1,3;6,2;-3,3;5,2;241045;266748
2006 4th quarter;112,9;89,2;4,5;9,8;55163;2732;2,4;6,3;-6,7;3,7;237631;263084
2007 1st quarter;114,2;91,4;4,1;9,4;45255;2443;-18,0;-10,6;-4,8;3,9;242522;270234
2007 2nd quarter;115,6;94,3;4,1;11,7;50423;2436;11,4;-0,3;-5,2;0,7;245955;274046
2007 3rd quarter;117,3;98,9;4,4;12,0;52161;2762;3,4;13,4;-3,2;7,4;253679;295410
2007 4th quarter;117,7;99,3;4,2;11,3;54562;2848;4,6;3,1;-1,1;4,2;250208;299101
2008 1st quarter;119,2;103,6;4,4;13,4;40971;2191;-24,9;-23,1;-9,5;-10,3;253376;314415
2008 2nd quarter;119,3;104,2;3,2;10,6;48014;2382;17,2;8,7;-4,8;-2,2;253527;309079
2008 3rd quarter;120,6;105,0;2,8;6,3;48440;2499;0,9;4,9;-7,1;-9,5;259425;306694
2008 4th quarter;119,7;102,0;1,7;2,7;44967;2318;-7,2;-7,2;-17,6;-18,6;252950;290918
2009 1st quarter;118,9;100,0;-0,2;-3,5;27218;1435;-39,5;-38,1;-33,6;-34,5;247692;284120
2009 2nd quarter;115,9;97,3;-2,9;-6,6;30269;1611;11,2;12,3;-37,0;-32,4;235495;273395
2009 3rd quarter;114,3;96,1;-5,2;-8,5;33234;2000;9,8;24,1;-31,4;-20,0;233608;274993
2009 4th quarter;113,3;97,5;-5,3;-4,4;36811;2317;10,8;15,9;-18,1;0,0;237755;288490
2010 1st quarter;113,2;96,6;-4,8;-3,3;27745;1784;-24,6;-23,0;1,9;24,3;236712;277348
2010 2nd quarter;113,3;98,3;-2,2;1,0;31891;1898;14,9;6,4;5,4;17,8;240001;284337
2010 3rd quarter;113,4;97,2;-0,8;1,2;32398;2025;1,6;6,7;-2,5;1,3;244424;283053
2010 4th quarter;112,1;97,0;-1,1;-0,5;34093;1990;5,2;-1,7;-7,4;-14,1;236733;279797
2011 1st quarter;111,5;98,7;-1,5;2,1;28358;1721;-16,8;-13,5;2,2;-3,5;240132;293197
2011 2nd quarter;111,0;97,4;-2,0;-1,0;29532;1868;4,1;8,5;-7,4;-1,6;241736;280421
2011 3rd quarter;110,2;97,3;-2,8;0,0;30769;1904;4,2;1,9;-5,0;-6,0;245503;290035
2011 4th quarter;108,3;94,6;-3,4;-2,5;32080;2145;4,3;12,7;-5,9;7,8;233229;276759
2012 1st quarter;106,9;94,8;-4,1;-3,9;23951;1558;-25,3;-27,4;-15,5;-9,5;235954;293547
2012 2nd quarter;104,9;92,5;-5,5;-5,0;34628;1883;44,6;20,9;17,3;0,8;234572;275509
